NAME,AGE,MORNING,DAY,EVENING,NIGHT,FIRST TWEET,SECOND TWEET,THIRD TWEET,FOURTH TWEET,PURCHASE AMOUNT
Жданова Мария Ивановна,22,1,1,1,1,Q: Вот я Вася  как я могла не правильно написать твою фамилию(( это все пальцы они просто не оттуда ро...  A: http://t.co/PuS5tWWq2f,"Еду домой в автобусе =""( мочевой пузырь ща лопнет нехер! Впервые такое в транспорте!!!",@DmitryMalikov Радость нежность и тоска чувств нахлынувших... Ни словечка от Вас... мне в ответ((,RT @RaccoonMr: МЕНЬШЕ ЧЕМ ЧЕРЕЗ 2 НЕДЕЛИ КАНИКУЛЫ А  У МЕНЯ НЕТ ОЦЕНОК :-) :-) :-),17209
Никитин Георгий Родионович,24,1,1,0,0,Будем надеяться на хорошую погоду на выходных очень уж шашлыков хочется),869844/1 Я ее просто распихать по шкафам не успел наверное) Хотя я вообще не помню чтобы одежда валялась какая-нибудь.,Распродажа сумок для ноутбуков ))) Все по 1000 рублей))) Осталось 5 штук!!! )))) 24232,@galyonkin КАК?! Я просто хочу знать учитывая специфику алмаза :),73248
Исаева Анна Георгиевна,24,1,1,1,1,"это 5 хоть и баян) ""@root_sashok: :D http://t.co/ckAyzWRceQ""",Новогодняя аудио подборочка) Забираем на стену чтобы не потерять! http://t.co/sUw4iJYdYY,@irina33371 ахахахх я заметила: отмычки перчатки все дела :DD,"Что делать в случае ""никто-тебя-не-любит""? ДЕЛАЙ ВИДЧТО ВСЕ ХОРОШО :)",24312
Сидоров Олег Алексеевич,21,1,1,0,0,@_StalArt_ очень верное и мудрое решениетак сказать ...слова не мальчикано мужа))) @Zhuravleva_Ann @2035988969,@DyagilevaNastya @3DG_rock7 любовный треугольник получается у нас)),@controlflow Когда упускаю-то? в #1? Это ты предложил я такого никогда не делаю :о)) А аргументов против #1 много что бы все перечислять,RT @4ayanmusiq: В декабре я снова посещу Казань . 22го декабря),71999
Николаева Юлия Матвеевна,20,0,0,1,0,RT @ksana_semenova: эти чихающие детки в школе  таки меня меня заразили по-моему...(,#ХочуПровестиНовогоднююНочьВместеС @coldiumtea ихих),Прогуливаю английский чтобы пойти на факультатив по английскому :D,@pani_walewska @rubis32 @maxbryansk ждете сигналов с марса?))) А представляете как ждут его выступления члены его вертикали?),35056
Казакова Таисия Ивановна,30,1,1,1,0,@Polinkallinka @Adele98963079 КАМЫШЕВАЯ АААААА РЖУУУУ...Я ХОТЕЛА СКАЗАТЬ КАСЫМОВА!!))),картощщку любишь?:) — Даа еще как :д http://t.co/RnBDishCjW,Особенно ваши толпы это равно тому как унизить самого себя !),@alyonka556 @alb_andreeva не просто делать нечего) Решила хоть телевизор посмотреть),124603
Степанов Александр Львович,47,1,0,0,1,@marfa_melen Лал все на гитарах играют :D Мне самому надо учиться нормально... Голос тоже свой ужасным считаю но все-равно хочу петь :С,@jyli_96 Плохие макнэ :D  Главная бичез - это конечно наш Тэхёнушка^^,RT @69STYLESKATE: @karinellaLOVE1D аахаха лалки ну это же я хахаха)я Катямне13 ахах веселая пошлаяДирекшионер муж Стайлс из волгоградской о…,Надо было у деда мороза просить бородатого мужика а не кучу конфет :( #beard http://t.co/61PAQTrWRQ,132058
Ковалева Ирина Данииловна,22,1,1,1,0,С этим телефоном уже и забыла как приятно держать просто книгу в руках. Начну пожалуй увлекательное 4х томное путешествие),Завтра все скажу Трафаретке:3 Нужно звонить Женьке:*,Кто бы мог подумать что такая мелочь поднимет настроение=))),RT @Alex_Zaets: с днем рождения этого губкиПЮшного балбеса) http://t.co/3bZR5dVoB6,115691
Панов Роман Максимович,24,1,1,1,1,Когда он злиться я его боюсь и чувствую себя не ловко:(,скучная жизнь?! ищи приключений на свою задницу!:D — спс не хочу я дома лучше посижу http://t.co/Yo19i7ftVe,@kirill_kirei @kp_kuban надо проверить еще и магазин @zveryuga_ru мало ли ))),кстати Ксюша звала на батл реперов в бар Амстердам но скорее всего батл отменят(,23481
Корнилов Михаил Матвеевич,39,0,0,1,0,@kamabambucha только к денису не пересаживайся:((,кто бы знал как же я не хочу никуда идти(,я как так девушка которая уже собралась на свидание а ее прокидали. Тюликова - ты кидалово))),@IriwaSechevitsa огого( логікааа?? Оо А в яку зміну пари поставлені? Вам Елліну повернули?,40743
